20181128|MPAM|1334
BBLAM|B-HY (UH) AI|218645679.23|10.2866|10.3381|10.2866|10.2866|10.3381|20181126|
BBLAM|B-INCOME|6303282554.18|10.3443|10.3961|10.3443|10.3443|10.3961|20181126|
BBLAM|B-INDIAMRMF|819388609.8|8.478|8.4781|8.478|8.478|8.4781|20181127|
BBLAM|B-INFRA|3189738562.5|31.5665|31.5666|31.2509|31.2509|31.5666|20181128|
BBLAM|B-INNOTECH|3202850453.21|11.5538|11.6694|11.5538|11.5538|11.6694|20181126|
BBLAM|B-INNOTECHRMF|220558901.09|9.9672|9.9673|9.9672|9.9672|9.9673|20181126|
BBLAM|B-LTF|61741693784.4|41.7499|41.75|41.7499|41.7499|41.75|20181128|
BBLAM|B-NIPPON|1202114468.87|11.435|11.4351|11.3207|11.3207|11.4351|20181127|
BBLAM|B-SENIOR|23427523692.95|12.1065||12.1065|12.1065||20181128|
BBLAM|B-SENIOR-X|17150046148.5|9.7365|9.7366|9.7365|9.7365|9.7366|20181126|
BBLAM|B-SM-RMF|1387744580.47|11.9507|11.9508|11.9507|11.9507|11.9508|20181128|
BBLAM|B-THAICG|489251154.39|9.4819|9.482|9.3871|9.3871|9.482|20181128|
BBLAM|B-TOPTENRMF|2010124444.9|9.1427|9.1428|9.1427|9.1427|9.1428|20181128|
BBLAM|B-TREASURY|20965464070.78|11.0163|11.0164|11.0163|11.0163|11.0164|20181128|
BBLAM|B25RMF|3710609453.59|14.9148|14.9149|14.9148|14.9148|14.9149|20181128|
BBLAM|BBASIC|2799395756.94|22.217|22.2171|21.9949|21.9949|22.2171|20181128|
BBLAM|BBASICDLTF|8708052880.68|9.0244|9.0245|9.0244|9.0244|9.0245|20181128|
BBLAM|BBASICRMF|3287881510.08|11.4895|11.4896|11.4895|11.4895|11.4896|20181128|
BBLAM|BCAP|1470601159.84|3.558|3.5581|3.558|3.558|3.5581|20181128|
BBLAM|BCARE|3585503810.36|28.7437|28.7438|28.4563|28.4563|28.7438|20181126|
BBLAM|BCARERMF|3725058856.69|10.7957|10.7958|10.7957|10.7957|10.7958|20181126|
BBLAM|BERMF|12619046280.77|98.1262|98.1263|98.1262|98.1262|98.1263|20181128|
BBLAM|BFIXED|68622786652.58|12.0512|12.0513|12.0512|12.0512|12.0513|20181128|
BBLAM|BFLRMF|21164917535.42|63.6093|63.6094|63.6093|63.6093|63.6094|20181128|
BBLAM|BFRMF|7971495512.72|14.5247|14.5248|14.5247|14.5247|14.5248|20181128|
BBLAM|BGOLD|941004752.94|9.5011|9.5126|9.4897|9.4897|9.5126|20181128|
BBLAM|BGOLDRMF|1065772098.2|9.2523|9.2524|9.2523|9.2523|9.2524|20181128|
BBLAM|BKA|10062390301.8|42.7876|42.7877|42.3598|42.3598|42.7877|20181128|
BBLAM|BKA2|1058327524.5|35.8126|35.8127|35.4545|35.4545|35.8127|20181128|
BBLAM|BKD|5102451397.61|4.0586|4.0587|4.0181|4.0181|4.0587|20181128|
BBLAM|BKIND|700285085.99|10.61|10.6101|10.5039|10.5039|10.6101|20181128|
BBLAM|BLTF75|35408095029.13|29.5649|29.565|29.5649|29.5649|29.565|20181128|
BBLAM|BSIRICG|5460521959.47|8.3062|8.3063|8.2232|8.2232|8.3063|20181128|
BBLAM|BSIRIRMF|3912362529.3|10.7512|10.7513|10.7512|10.7512|10.7513|20181128|
BBLAM|BTK|901491466.88|17.365|17.3651|17.1914|17.1914|17.3651|20181128|
BBLAM|B-TNTV|103833003206.24|13.1328|13.1329|13.1328|13.1328|13.1329|20181128|
BBLAM|BTP|13308869919.19|48.5479|48.548|48.0625|48.0625|48.548|20181128|
BBLAM|IN-RMF|6719490438.42|26.6691|26.6692|26.6691|26.6691|26.6692|20181128|
BBLAM|MM-RMF|1867251231.36|11.4805|11.4806|11.4805|11.4805|11.4806|20181128|
BBLAM|B-Fixterm 1/18|1152850471.85|10.0177|||||20181128|
BBLAM|B-Fixterm2/18|1469930552.67|10.0109|||||20181128|
BBLAM|B-Fixterm3/18|2336982159.18|10.0088|||||20181128|
BBLAM|B-Fixterm4/18|1607229117.73|10.0066|||||20181128|
BBLAM|B-Fixterm5/18|1408659364.98|10.0046|||||20181128|
BBLAM|BP12/18|1909393827.5|10.0863|||||20181128|
BBLAM|BP13/18|4138932579.92|10.0898|||||20181128|
BBLAM|BP14/18|3563400140.82|10.0819|||||20181128|
BBLAM|BP15/18|1743710294.93|10.0742|||||20181128|
BBLAM|BP16/18|5955012518.45|10.0698|||||20181128|
BBLAM|BP17/18|3136424934.07|10.0639|||||20181128|
BBLAM|BP18/18|2786067107.76|10.0618|||||20181128|
BBLAM|BP19/18|2693770190.89|10.0649|||||20181128|
BBLAM|BP20/18|4223425070.2|10.0622|||||20181128|
BBLAM|BP21/18|1778767492.18|10.0524|||||20181128|
BBLAM|BP22/18|8624820496.23|10.0526|||||20181128|
BBLAM|BP23/18|5378001166.63|10.0542|||||20181128|
BBLAM|BP24/18|5342595367.79|10.0517|||||20181128|
BBLAM|BP25/18|5020644803.82|10.0418|||||20181128|
BBLAM|BP26/18|1576928926.95|10.041|||||20181128|
BBLAM|BP27/18|7213688222.6|10.0407|||||20181128|
BBLAM|BP28/18|3727487492.65|10.0413|||||20181128|
BBLAM|BP29/18|2754058915.84|10.0335|||||20181128|
BBLAM|BP30/18|2855582646.58|10.0286|||||20181128|
BBLAM|BP31/18|3372652155.99|10.0173|||||20181128|
BBLAM|BP32/18|2387896312.69|10.019|||||20181128|
BBLAM|BP33/18|709843619.2|10.0159|||||20181128|
ASSETFUND|ASP-CHINA|256522703.53|9.6856|9.831|9.6856|9.6856|9.831|20181126|
ASSETFUND|ASP-EUROPE VALUE|210932800.26|11.1737|11.3414|11.1737|11.1737|11.3414|20181126|
ASSETFUND|ASP-NGF|309373970.12|9.6674|9.8608|9.6674|9.6674|9.8608|20181126|
ASSETFUND|ASP-ASIAN|277581512.84|11.0339|11.1995|11.0339|11.0339|11.1995|20181127|
ASSETFUND|ASP-BRIC|22555287.58|6.4168|6.5452|6.4168|6.4168|6.5452|20181127|
ASSETFUND|ASP-DISRUPT|1073543731.55|8.9532|9.0652|8.9532|8.9532|9.0652|20181127|
ASSETFUND|ASP-DISRUPTRMF|3305025.09|8.2612|8.2613|8.2612|8.2612|8.2613|20181127|
ASSETFUND|ASP-EUPROP|62958328.75|10.3051|10.4598|10.3051|10.3051|10.4598|20181127|
ASSETFUND|ASP-EVOCHINA|81580471.83|9.8485|9.8486|9.8485|9.8485|9.8486|20181127|
ASSETFUND|ASP-FFPLUSA|5893164.17|8.4405|8.4406|8.4405|8.4405|8.4406|20181127|
ASSETFUND|ASP-FFPLUSR|88605977.75|8.4397|8.4398|8.4397|8.4397|8.4398|20181127|
ASSETFUND|ASP-GAF|11801344.16|9.73|9.8274|9.73|9.73|9.8274|20181127|
ASSETFUND|ASP-GCOM 1|214460968.58|8.1652|||||20181127|
ASSETFUND|ASPGIPLUS-A|314962308.27|9.7792|9.8316|9.7792|9.7792|9.8316|20181127|
ASSETFUND|ASPGIPLUS-R|195372807.81|9.7773|9.8297|9.7773|9.7773|9.8297|20181127|
ASSETFUND|ASP-INDIA|29734794.59|10.2245|10.3268|10.2245|10.2245|10.3268|20181127|
ASSETFUND|ASP-OIL|16539820.52|3.3618|3.3703|3.3618|3.3618|3.3703|20181127|
ASSETFUND|ASP-ROBOT|1812118003.11|9.1446|9.259|9.1446|9.1446|9.259|20181127|
ASSETFUND|ASP-ROBOTRMF|108236251.58|8.154|8.1541|8.154|8.154|8.1541|20181127|
ASSETFUND|ASP-S&P500|295017571.57|29.796|29.8706|29.796|29.796|29.8706|20181127|
ASSETFUND|ASP-STARS9|28287157.31|8.4867||8.4867|8.4867||20181127|
ASSETFUND|ASP-STRATEGIC|76708265.81|8.1419|8.1624|8.1215|8.1215|8.1624|20181127|
ASSETFUND|ASP-VIET|2501494962.48|7.6739|7.7891|||7.7891|20181127|
ASSETFUND|ASP-VIETRMF|3453518.64|9.5888|9.5889|||9.5889|20181127|
ASSETFUND|ASP|1950836206.73|16.5012|16.5013|16.5012|16.5012|16.5013|20181128|
ASSETFUND|ASP2|68309570.51|13.8377|13.8378|||13.8378|20181128|
ASSETFUND|ASP-AIF1|359340733.9|10.5944|||||20181128|
ASSETFUND|ASP-AITF3Y3|908744722.23|11.0685|||||20181128|
ASSETFUND|ASP-AITF5Y1|406003361.88|11.5809|||||20181128|
ASSETFUND|ASP-DPLUS|9322499493.91|10.3339|10.334|10.3339|10.3339|10.334|20181128|
ASSETFUND|ASP-ERF|187982619.53|26.2969|26.297|26.2969|26.2969|26.297|20181128|
ASSETFUND|ASP-FLEXPLUS|642743049.19|9.4756|9.5705|9.4756|9.4756|9.5705|20181128|
ASSETFUND|ASP-FRF|45509969.17|14.5|14.5001|14.5|14.5|14.5001|20181128|
ASSETFUND|ASP-GDF|27545492.8|10.8114|10.8115|10.8114|10.8114|10.8115|20181128|
ASSETFUND|ASP-GLTF|200383902.97|23.009|23.0091|23.009|23.009|23.0091|20181128|
ASSETFUND|ASP-GOLD|76626041.2|11.2516|11.2798|11.2516|11.2516|11.2798|20181128|
ASSETFUND|ASP-HSI|27623809.53|15.6249|15.6641|15.6249|15.6249|15.6641|20181128|
ASSETFUND|ASP-LTF|242207572.77|16.0504|16.0505|16.0504|16.0504|16.0505|20181128|
ASSETFUND|ASP-MRF|202666357.42|26.6438|26.6439|26.6438|26.6438|26.6439|20181128|
ASSETFUND|ASP-NKY225|19346093.53|12.2849|12.3771|12.2849|12.2849|12.3771|20181128|
ASSETFUND|ASP-PRIME4|18220361.02|7.7936||7.7936|7.7936||20181128|
ASSETFUND|ASP-SME|790508037.08|10.0253|10.1257|10.0253|10.0253|10.1257|20181128|
ASSETFUND|ASP-SMELTF|85138375.7|8.502|8.5021|8.502|8.502|8.5021|20181128|
ASSETFUND|ASP-TFIXED 6M1|577822661.06|10.0509|||||20181128|
ASSETFUND|ASP-TFIXED2|199346335.94|11.9774|11.9775|11.9774|11.9774|11.9775|20181128|
ASSETFUND|ASP-TFIXED3|358799928.2|12.0286|||||20181128|
ASSETFUND|ASP-TFIXED5|1119230733.6|12.6456|||||20181128|
ASSETFUND|ASP-TFIXED9|153034580.87|11.9505|||||20181128|
ASSETFUND|ASP-THEQ|102240668.78|10.5419|10.6474|10.5419|10.5419|10.6474|20181128|
SCBAM|SCB2566|22023113.16|10.8399|10.898|10.8399|10.8399|10.898|20181128|
SCBAM|SCB2576|58431744.2|11.1707|11.2306|11.1707|11.1707|11.2306|20181128|
SCBAM|SCB2586|29406494.79|11.2184|11.2785|11.2184|11.2184|11.2785|20181128|
SCBAM|SCBABS|8928765.67|9.7143|9.8703|9.7143|9.7143|9.8703|20181128|
SCBAM|SCBAEM|3044188085.76|10.4801|10.5923|10.4801|10.4801|10.5923|20181127|
SCBAM|SCBAEMHA|5254091013.37|8.4078|8.4979|8.4078|8.4078|8.4979|20181127|
SCBAM|SCBAF1YA2|4249862067.42|10.0803|||||20181128|
SCBAM|SCBAF1YA3|531072387.74|10.0711|||||20181128|
SCBAM|SCBAI6M54|716208795.67|10.0793|||||20181128|
SCBAM|SCBAI6M55|514613843.06|10.0718|||||20181128|
SCBAM|SCBAI6M56|551670447.74|10.0583|||||20181128|
SCBAM|SCBAI6M57|510421266.5|10.0574|||||20181128|
SCBAM|SCBAI6M58|521069874.71|10.0401|||||20181128|
SCBAM|SCBAI6M59|498281477.73|10.0317|||||20181128|
SCBAM|SCBAI6M60|480116333.34|10.024|||||20181128|
SCBAM|SCBAI6M61|495248134.13|10.0177|||||20181128|
SCBAM|SCBAPLUS|4267606898.51|10.217|10.3811|10.217|10.217|10.3811|20181127|
SCBAM|SCBAPLUSA|197735049.64|10.2173|10.3814|10.2173|10.2173|10.3814|20181127|
SCBAM|SCBAUD|65070269.94|10.3751|10.4307|10.3751|10.3751|10.4307|20181128|
SCBAM|SCBBANKING|2638023503.01|11.763|11.8313|11.7536|11.7536|11.8313|20181128|
SCBAM|SCBBANKINGA|53469071.03|11.7635|11.8318|11.7541|11.7541|11.8318|20181128|
SCBAM|SCBBANKINGP|0|11.7631|11.7726|11.7537|11.7537|11.7726|20181128|
SCBAM|SCBBLN|420259777.3|11.1836|11.3721|11.1747|11.1747|11.3721|20181127|
SCBAM|SCBCE|426971404.34|8.6853|8.7357|8.6784|8.6784|8.7357|20181128|
SCBAM|SCBCEH|2431563680.75|10.9042|10.9675|10.8955|10.8955|10.9675|20181128|
SCBAM|SCBCEHP|0|10.9042|10.913|10.8955|10.8955|10.913|20181128|
SCBAM|SCBCEP|0|8.6853|8.6923|8.6784|8.6784|8.6923|20181128|
SCBAM|SCBCHA|1857790202.58|7.8956|7.9415|7.8893|7.8893|7.9415|20181128|
SCBAM|SCBCHAP|0|7.8956|7.902|7.8893|7.8893|7.902|20181128|
SCBAM|SCBCHEQA|703088026.15|7.5097|7.6303|7.5097|7.5097|7.6303|20181127|
SCBAM|SCBCOMP|12319305.25|5.0093|5.0362|5.0093|5.0093|5.0362|20181126|
SCBAM|SCBDA|131600514.27|9.1405|9.232|9.1405|9.1405|9.232|20181128|
SCBAM|SCBDAP|0|9.1405|9.1406|9.1405|9.1405|9.1406|20181128|
SCBAM|SCBDIGI|2231639938.56|13.0954|13.3057|13.0954|13.0954|13.3057|20181126|
SCBAM|SCBDV|7993568839.37|10.6314|10.6884|10.6314|10.6314|10.6884|20181128|
SCBAM|SCBDVP|0|10.6314|10.6315|10.6314|10.6314|10.6315|20181128|
SCBAM|SCBEMBOND|111179256.28|7.8795|7.9218|7.8795|7.8795|7.9218|20181127|
SCBAM|SCBEMEQ|1197766581.13|8.3821|8.427|8.3821|8.3821|8.427|20181126|
SCBAM|SCBENERGY|486004034.31|10.5584|10.6197|10.55|10.55|10.6197|20181128|
SCBAM|SCBENERGYP|0|10.5584|10.5669|10.55|10.55|10.5669|20181128|
SCBAM|SCBEUEQ|1227034324.32|10.7037|10.7627|10.6983|10.6983|10.7627|20181127|
SCBAM|SCBEUEQP|0|10.7037|10.7092|10.6983|10.6983|10.7092|20181127|
SCBAM|SCBEUSM|724510714.22|10.9166|11.0919|10.9166|10.9166|11.0919|20181127|
SCBAM|SCBEUSMP|0|10.9166|10.9167|10.9166|10.9166|10.9167|20181127|
SCBAM|SCBFF1YH4|1205484165.79|10.0829|||||20181128|
SCBAM|SCBFF1YH5|2762350267.49|10.0834|||||20181128|
SCBAM|SCBFF1YH6|2780603098.63|10.0758|||||20181128|
SCBAM|SCBFF1YH7|3266773712.98|10.0759|||||20181128|
SCBAM|SCBFF1YH8|2569210461.64|10.0762|||||20181128|
SCBAM|SCBFF1YH9|4688206268.38|10.0763|||||20181128|
SCBAM|SCBFF1YI1|3684181141.81|10.0676|||||20181128|
SCBAM|SCBFF1YI2|2014798771.16|10.064|||||20181128|
SCBAM|SCBFF1YI3|3303647790.54|10.0564|||||20181128|
SCBAM|SCBFF1YI4|448420450.9|10.0607|||||20181128|
SCBAM|SCBFF1YI5|596534707.77|10.0511|||||20181128|
SCBAM|SCBFF1YI6|1723678514.31|10.0522|||||20181128|
SCBAM|SCBFF1YI7|1235688901.68|10.0655|||||20181128|
SCBAM|SCBFF1YI8|3887672507.07|10.0644|||||20181128|
SCBAM|SCBFF1YI9|12269675399.92|10.0786|||||20181128|
SCBAM|SCBFF1YJ1|2930170102.57|10.0684|||||20181128|
SCBAM|SCBFF1YJ2|4192095561.24|10.0683|||||20181128|
SCBAM|SCBFF1YJ3|2596288378.91|10.0454|||||20181128|
